order_id,customer_id,order_date,customer_age,customer_gender,customer_segment,region,state,store_type,product_category,product_subcategory,product_name,unit_price,quantity,discount_percent,shipping_cost,payment_method,marketing_channel,customer_tenure_months,loyalty_program_member,competitor_price,economic_index,season,day_of_week,is_holiday,sales_rep_id,sales_rep_experience_years,customer_satisfaction_score,delivery_days,total_sales
ORD-100209,CUST-3141,2024/01/24,18.0,Female,Corporate,North Central,lokoja,Wholesale,Groceries,Household,Household Eco 931,20651.62,2,0.0,249.28,USSD,Email,23,no,18169.57,90.89,Dry,Wednesday,No,REP-43,3.0,5.1,5.0,49378.11
ORD-104133,CUST-2381,05/07/2025,31.0,Female,Consumer,North,kano,Online,Furniture,Office Chairs,Office Chairs Lite 522,12077.81,2,0.0,1140.89,Credit Card,Direct,68,True,13157.99,81.34,Rainy,Saturday,N,REP-37,18.0,2.7,5.0,38295.5
ORD-101472,CUST-2235,2024/11/23,25.0,Female,Home Office,North, Kaduna ,Online, Furniture ,Office Chairs,Office Chairs Plus 656,33227.33,4,0.0,891.68,Bank Transfer,Direct,34,no,38443.34,104.39,Dry,Saturday,0,REP-54,2.0,3.4,4.0,131428.2
ORD-103951,CUST-1603,"April 22, 2025",15.0,Male,Home Office,North,kano,Online,Groceries,Beverages,Beverages Standard 176,"NGN 8,346",2,10.0,1150.05,CASH,Email,38,Yes,10776.23,85.89,Rainy,Tuesday,no,REP-04,2.0,,5.0,15278.69
ORD-102130,CUST-2974,22/08/2024,33.0,Female,Consumer,South West, Ogun ,Online,Furniture,Beds,Beds Max 695,39659.48,2,0.0,533.1,CREDIT_CARD,Social Media,92,yes,37148.03,98.78,Rainy,Thursday,no,REP-50,0.0,2.6,,80057.48
ORD-103476,CUST-2506,2024-12-02,,Female,Consumer,North Central,LOKOJA,Retail,Groceries,Staples,Staples Pro 513,9852.53,6,0.0,1211.63,Bank Transfer,Email,52,No,9766.79,95.35,Dry,Monday,No,REP-02,17.0,3.6,6.0,64830.45
ORD-100014,CUST-2973,26/04/2025,25.0,Male,Corporate,South West,lagos,Online,Clothing,Footwear,Footwear Plus 537,6359.53,2,0.0,625.15,Bank Transfer,Search,60,,6248.5,85.43,Rainy,Saturday,No,REP-26,19.0,6.0,,18709.59
ORD-104564,CUST-3466,04/11/2025,20.0,Female,Corporate,North,plateau,Online,Beauty,Makeup,Makeup Standard 524,"₦11,519.51",1,,636.29,CASH,Direct,41,1,10978.01,100.61,Dry,Tuesday,no,REP-32,0.0,,6.0,9661.13
ORD-103780,CUST-1154,"January 27, 2025",43.0,Female,Corporate,North,Sokoto,Online,Groceries,Household,Household Max 913,9488.71,3,0.0,1688.68,CASH,Search,55,0,10229.04,101.17,Dry,Monday,0,REP-11,4.0,3.1,1.0,27822.18
ORD-100893,CUST-3695,"August 24, 2024",34.0,Male,Home Office,South East,enugu,Online,Furniture,Office Chairs,Office Chairs Lite 842,15872.13,1,15.0,894.56,Debit Card,Social Media,33,False,18345.26,99.41,Rainy,Saturday,0,REP-25,19.0,2.9,3.0,13084.06
ORD-102994,CUST-3118,2025-09-10,28.0,Female,Consumer,North Central,lokoja,Online,Office Supplies,Printers,Printers Lite 200,18500.27,7,5.0,667.98,Bank Transfer,Referral,70,yes,19994.19,97.75,Rainy,Wednesday,No,REP-01,0.0,3.9,8.0,156230.66
ORD-101692,CUST-2807,27/08/2025,50.0,Female,Consumer,North, Kaduna ,Online,Beauty,Fragrance,Fragrance Max 833,25140.13,5,15.0,1729.41,Cash,Email,32,1,,95.29,Rainy,Wednesday,0,REP-36,7.0,3.1,6.0,125499.67
ORD-103616,CUST-1141,2025-07-17,32.0,Male,Consumer,North Central,MINNA,Retail, Furniture ,Sofas,Sofas Standard 337,"NGN 42,375",9,15.0,182.13,BANK_TRANSFER,Direct,50,Yes,37040.78,103.71,Rainy,Thursday,True,REP-18,13.0,,3.0,444534.9
ORD-104983,CUST-2105,16/09/2025,,,Consumer,South East,owerri,Retail,Groceries,Household,Household Lite 856,9530.66,1,0.0,875.86,BANK_TRANSFER,Social Media,66,No,10722.63,87.71,Rainy,Tuesday,N,REP-55,9.0,2.8,6.0,11912.79
ORD-104268,CUST-1123,28/05/2025,24.0,Female,Consumer,South West,ekiti,Retail,OFFICE SUPPLIES,Ink,Ink Eco 790,6702.07,6,0.0,1011.77,Credit Card,TV,42,Y,6828.3,107.69,Rainy,Wednesday,0,REP-55,8.0,3.8,7.0,50923.75
ORD-103807,CUST-1427,18/07/2024,19.0,Other,Consumer,South South,Uyo,Retail,Automotive Parts,Tyres,Tyres Eco 514,10013.22,5,5.0,2258.18,Cash,Social Media,68,No,10085.73,95.65,Rainy,Thursday,Yes,REP-36,16.0,2.1,3.0,50522.53
ORD-103286,CUST-1360,"February 08, 2024",48.0,Female,Home Office,North Central,Ilorin,Retail, Electronics ,Televisions,Televisions Pro 871,15793.9,5,10.0,664.12,DEBIT_CARD,TV,85,no,13729.45,113.99,Dry,Thursday,N,REP-17,13.0,2.3,4.0,69066.49
ORD-102101,CUST-2836,22/09/2025,54.0,Female,Home Office,South South,WARRI,Retail,Office Supplies,Ink,Ink Lite 388,31827.29,4,0.0,186.65,Debit Card,Referral,5,,28557.51,98.69,Rainy,Monday,False,REP-25,4.0,3.4,7.0,145214.67
ORD-103621,CUST-1611,2025-01-14,,Female,Home Office,North Central,Jos,Online,Office Supplies,Paper,Paper Lite 818,"NGN 15,858",3,5.0,583.73,Bank Transfer,Social Media,4,True,,91.29,Dry,Tuesday,no,REP-18,15.0,,3.0,51715.22
ORD-100077,CUST-1624,10/01/2024,36.0,Male,Consumer,South South,yenagoa,Online,Furniture,Beds,Beds Max 370,3047.66,1,5.0,1135.63,Debit Card,Search,7,yes,3208.69,99.35,Dry,Wednesday,No,REP-59,11.0,3.0,5.0,3215.77
ORD-100330,CUST-2503,2025-02-15,19.0,Other,Corporate,North,Kano,Retail,Beauty,Makeup,Makeup Standard 937,"NGN 43,320",5,25.0,938.72,Mobile Money,Referral,70,,36012.8,90.49,Dry,Saturday,No,REP-27,15.0,3.8,2.0,202986.68
ORD-101835,CUST-1378,2025-07-28,23.0,Male,Consumer,South East,Aba,Retail,GROCERIES,Household,Household Pro 168,12933.02,4,0.0,204.68,CASH,Email,25,N,13671.17,95.89,Rainy,Monday,0,REP-34,6.0,6.2,,45057.1
ORD-100744,CUST-3186,13/01/2024,15.0,,Corporate,South South,uyo,Online,Beauty,Haircare,Haircare Plus 704,"₦31,791.85",4,0.0,323.98,USSD,TV,32,No,30955.92,94.3,Dry,Saturday,False,REP-10,14.0,4.6,3.0,120219.86
ORD-104321,CUST-2232,2025-05-15,38.0,Female,Consumer,South West,LAGOS,Online,AUTOMOTIVE PARTS,Engine Oil,Engine Oil Lite 566,21647.09,3,0.0,707.94,MOBILE_MONEY,Social Media,17,True,21224.54,103.58,Rainy,Thursday,Yes,REP-41,16.0,3.4,4.0,72972.45
ORD-101380,CUST-3696,31/07/2024,23.0,Male,Consumer,North Central,Abuja,Online,Office Supplies,Paper,Paper Plus 423,"₦22,135.98",4,5.0,499.07,Cash,Email,53,No,19806.19,104.52,Rainy,Wednesday,No,REP-45,2.0,3.2,,97084.28
ORD-102704,CUST-1189,"November 15, 2025",14.0,Other,Corporate,South West,osun,Online,Beauty,Haircare,Haircare Plus 223,24426.89,7,0.0,,BANK_TRANSFER,Referral,49,No,28343.89,94.62,Dry,Saturday,False,REP-15,1.0,4.6,7.0,148953.8
ORD-101983,CUST-3064,2024-01-02,,Male,Corporate,North,kaduna,Wholesale,Furniture,Tables,Tables Standard 190,37960.99,6,0.0,172.99,Cash,TV,33,Y,,109.83,Dry,Tuesday,no,REP-47,10.0,4.9,2.0,284409.93
ORD-104230,CUST-1201,"February 06, 2025",,Male,Consumer,North Central, Lokoja ,Online,Electronics,Smartphones,Smartphones Eco 887,30223.38,5,5.0,1915.79,Bank Transfer,Search,34,no,34084.53,98.27,Dry,Thursday,0,REP-36,16.0,3.5,9.0,171718.13
ORD-103298,CUST-2481,26/02/2024,33.0,Female,Corporate,North,sokoto,Retail,Clothing,Menswear,Menswear Max 720,"₦26,612.61",2,0.0,398.24,USSD,TV,64,,27596.67,82.32,Dry,Monday,no,REP-36,17.0,4.3,7.0,66858.08
ORD-104606,CUST-1660,2024-08-18,41.0,Male,Home Office,South East,onitsha,Online,Beauty,Haircare,Haircare Plus 271,26967.09,3,25.0,416.33,Mobile Money,Email,26,False,27173.31,101.9,Rainy,Sunday,N,REP-59,6.0,4.8,4.0,71101.06
ORD-103162,CUST-1440,2024/09/01,37.0,Female,Consumer,South West,Lagos,Retail,Clothing,Footwear,Footwear Standard 958,9414.9,7,,1100.68,CASH,Social Media,2,0,9336.65,109.5,Rainy,Sunday,No,REP-30,14.0,3.5,7.0,70526.06
ORD-101630,CUST-2574,"December 20, 2024",40.0,Other,Home Office,North,Kaduna,Online,Electronics,Televisions,Televisions Lite 768,25815.59,5,5.0,,Cash,Direct,30,0,25943.2,111.39,Dry,Friday,False,REP-60,1.0,3.0,5.0,123790.83
ORD-104079,CUST-3100,2024-09-24,33.0,Female,Consumer,North Central, Lokoja ,Online,Beauty,Haircare,Haircare Standard 956,30806.07,4,0.0,1184.53,Credit Card,Email,73,False,31783.57,108.35,Rainy,Tuesday,no,REP-59,4.0,4.8,5.0,111896.62
ORD-103395,CUST-3186,07/10/2025,49.0,Female,Consumer,South West,OSUN,Online,Office Supplies,Stationery,Stationery Max 381,4740.74,5,20.0,477.63,USSD,Social Media,81,Y,,113.13,Rainy,Tuesday,No,REP-38,0.0,5.1,5.0,23180.1
ORD-100731,CUST-2151,"March 31, 2024",46.0,Female,Consumer,South East,Owerri,Online,Electronics,Smartphones,Smartphones Standard 294,10522.47,2,10.0,619.45,USSD,Referral,84,0,10462.02,103.66,Dry,Sunday,N,REP-26,8.0,4.3,5.0,24493.56
ORD-103125,CUST-3446,27/04/2024,37.0,Female,Corporate,South West,Ibadan,Wholesale,Clothing,Accessories,Accessories Lite 194,11944.44,4,5.0,1274.73,Debit Card,Direct,21,No,11659.02,92.26,Rainy,Saturday,no,REP-25,11.0,4.5,3.0,51817.93
ORD-104654,CUST-1336,2025-12-11,11.0,Male,Consumer,North Central,Lokoja,Online,Clothing,Footwear,Footwear Max 792,16356.34,1,15.0,1132.99,USSD,Referral,31,False,17527.59,100.19,Dry,Thursday,No,REP-55,12.0,3.5,2.0,19426.3
ORD-102347,CUST-3068,"September 09, 2024",20.0,Male,Consumer,North, Borno ,Online,Automotive Parts,Engine Oil,Engine Oil Max 158,5774.31,4,0.0,2761.84,Cash,Referral,25,True,5542.35,115.6,Rainy,Monday,0,REP-40,3.0,5.3,8.0,26586.43
ORD-102377,CUST-1377,2025-03-25,55.0,Male,Corporate,North,BORNO,Wholesale,Electronics,Televisions,Televisions Eco 617,23787.59,5,5.0,1078.15,USSD,Search,76,True,23780.29,95.15,Dry,Tuesday,No,REP-08,5.0,6.9,6.0,131916.82
ORD-103708,CUST-2353,25/12/2024,26.0,Other,Consumer,North Central,minna,Online,Groceries,Dairy,Dairy Plus 668,31040.98,6,0.0,243.03,Credit Card,TV,46,,30966.6,94.97,Dry,Wednesday,False,REP-22,18.0,4.1,3.0,262676.76
ORD-100846,CUST-1429,"March 29, 2024",37.0,Female,Consumer,South East,enugu,Online,Groceries,Snacks,Snacks Plus 284,23485.42,4,10.0,211.49,Bank Transfer,Direct,6,Yes,23408.83,104.64,Dry,Friday,no,REP-35,6.0,2.5,9.0,92705.39
ORD-101180,CUST-2671,"October 12, 2024",48.0,Male,Consumer,North Central,ABUJA,Online,Furniture,Office Chairs,Office Chairs Eco 968,11421.2,3,10.0,1772.98,Cash,Direct,27,No,12575.74,81.88,Rainy,Saturday,No,REP-46,7.0,3.6,4.0,29671.18
ORD-103148,CUST-3721,2024-03-11,,Male,Corporate,North Central, Abuja ,Online,Electronics,Laptops,Laptops Plus 466,23627.05,5,10.0,1485.86,Debit Card,Search,7,N,23254.81,107.58,Dry,Monday,yes,REP-29,2.0,3.8,2.0,124435.93
ORD-103802,CUST-3214,22/07/2025,43.0,Other,Corporate,South South, Port Harcourt ,Online,Electronics,Accessories,Accessories Plus 651,15848.61,2,5.0,169.03,BANK_TRANSFER,TV,78,,16172.59,105.27,Rainy,Tuesday,1,REP-13,7.0,5.3,10.0,33700.34
ORD-100575,CUST-2027,2025-01-28,26.0,Female,Consumer,South South,CALABAR,Retail,Beauty,Skincare,Skincare Pro 712,"₦38,900.70",6,,1663.1,Mobile Money,Social Media,35,False,41369.41,91.61,Dry,Tuesday,no,REP-12,14.0,3.7,6.0,230107.97
ORD-101012,CUST-1676,24/04/2025,55.0,Other,Corporate,North Central,ABUJA,Retail,Furniture,Office Chairs,Office Chairs Lite 871,41344.64,7,20.0,942.66,Bank Transfer,Email,24,False,40842.31,83.92,Rainy,Thursday,N,REP-43,6.0,5.7,4.0,276907.67
ORD-102170,CUST-1057,18/10/2025,,Other,Home Office,North Central,Jos,Online,Automotive Parts,Engine Oil,Engine Oil Eco 529,12106.18,4,0.0,551.95,Cash,Referral,38,N,10796.63,106.0,Rainy,Saturday,0,REP-03,15.0,3.8,6.0,62183.09
ORD-102252,CUST-1670,2025-07-20,37.0,Other,Corporate,South South, Uyo ,Online,GROCERIES,Snacks,Snacks Standard 805,26121.67,3,0.0,272.06,Debit Card,Email,55,0,27428.18,101.16,Rainy,Sunday,No,REP-29,10.0,3.0,8.0,85696.36
ORD-102571,CUST-3565,08/11/2025,7.0,Male,Home Office,South West,ekiti,Online,FURNITURE,Storage,Storage Pro 619,24726.85,2,5.0,610.64,USSD,Search,41,No,,97.39,Dry,Saturday,False,REP-16,19.0,2.9,,51244.69
ORD-100383,CUST-1662,2024-10-05,41.0,Female,Corporate,North Central, Minna ,Online,Groceries,Dairy,Dairy Pro 270,22052.55,3,,825.65,USSD,Email,86,False,22101.39,112.74,Rainy,Saturday,no,REP-04,4.0,2.3,4.0,51389.62
ORD-101170,CUST-2729,"January 28, 2025",33.0,,Consumer,North,KANO,Retail,Beauty,Fragrance,Fragrance Lite 162,11801.4,7,15.0,472.41,USSD,Search,95,N,11865.84,113.6,Dry,Tuesday,N,REP-03,13.0,3.4,6.0,77551.41
ORD-100129,CUST-2745,2025/03/16,25.0,Male,Corporate,South East,OWERRI,Retail,Automotive Parts,Engine Oil,Engine Oil Eco 467,"NGN 24,002",3,5.0,1172.45,USSD,Search,56,1,24226.01,93.89,Dry,Sunday,0,REP-59,15.0,4.2,6.0,76656.54
ORD-102307,CUST-1422,2024-05-28,28.0,Male,Consumer,South South,YENAGOA,Online,Automotive Parts,Filters,Filters Lite 770,11306.73,5,0.0,339.39,CASH,TV,88,no,12534.61,98.48,Rainy,Tuesday,no,REP-06,6.0,3.1,4.0,63631.08
ORD-102609,CUST-3273,15/01/2024,32.0,Male,Consumer,South East,OWERRI,Retail,Office Supplies,Paper,Paper Eco 789,41756.48,2,15.0,2649.14,USSD,TV,64,no,42085.67,101.54,Dry,Monday,False,REP-07,3.0,4.6,6.0,84895.44
ORD-102740,CUST-1510,12/04/2024,51.0,Male,Consumer,South East,Aba,Online,Beauty,Fragrance,Fragrance Max 504,17588.61,2,0.0,362.73,Bank Transfer,Search,83,no,16497.19,94.71,Rainy,Friday,N,REP-48,8.0,3.8,7.0,30321.09
ORD-100167,CUST-1459,22/05/2024,46.0,Other,Home Office,South East,aba,Retail,Office Supplies,Ink,Ink Pro 616,"₦14,136.15",3,,1163.02,Credit Card,Referral,49,1,13659.44,107.59,Rainy,Wednesday,0,REP-16,13.0,,7.0,56702.86
ORD-100940,CUST-2899,2024-07-05,39.0,Female,Home Office,North,Borno,Retail,BEAUTY,Fragrance,Fragrance Pro 504,"NGN 11,871",2,15.0,591.59,MOBILE_MONEY,Referral,27,0,11319.17,88.02,Rainy,Friday,No,REP-20,7.0,3.2,7.0,23033.61
ORD-103257,CUST-1537,"August 05, 2025",,Female,Consumer,South South,yenagoa,Online,furniture,Storage,Storage Plus 412,"NGN 42,010",8,5.0,155.91,Credit Card,Referral,79,yes,,97.6,Rainy,Tuesday,N,REP-49,7.0,2.8,4.0,295520.32
ORD-104360,CUST-1020,07/06/2025,37.0,Male,Consumer,South South,Calabar,Online,Beauty,Makeup,Makeup Eco 844,3820.68,6,10.0,449.51,Cash,Referral,88,no,4002.55,104.81,Rainy,Saturday,N,REP-27,16.0,5.2,8.0,25671.51
ORD-103220,CUST-2923,2024-08-17,56.0,Male,Consumer,South East,aba,Wholesale,Furniture,Sofas,Sofas Pro 799,18869.39,6,25.0,587.0,CREDIT_CARD,Email,25,yes,20640.11,105.21,Rainy,Saturday,0,REP-09,2.0,4.8,6.0,91050.15
ORD-104075,CUST-1061,2025-09-23,41.0,Male,Corporate,South East,Onitsha,Online,Office Supplies,Printers,Printers Pro 410,30510.24,5,20.0,1320.73,Cash,Search,67,Yes,31785.62,85.16,Rainy,Tuesday,N,REP-39,1.0,5.4,6.0,140818.45
ORD-101320,CUST-1315,20/07/2025,37.0,Female,Corporate,South East,onitsha,Online,Electronics,Televisions,Televisions Standard 671,11134.19,5,25.0,564.05,DEBIT_CARD,Social Media,49,False,10774.28,87.03,Rainy,Sunday,False,REP-42,9.0,4.3,5.0,43526.91
ORD-100311,CUST-2848,"November 07, 2025",36.0,Male,Consumer,South East,onitsha,Online,Automotive Parts,Electricals,Electricals Lite 134,"₦12,050.07",3,0.0,958.96,USSD,TV,63,N,,96.15,Dry,Friday,no,REP-32,3.0,2.8,6.0,40514.96
ORD-100100,CUST-3290,05/02/2025,26.0,Male,Corporate,North,sokoto,Online,Clothing,Menswear,Menswear Standard 570,"₦28,999.39",5,5.0,1069.99,Cash,Referral,79,Y,29032.95,88.77,Dry,Wednesday,no,REP-23,4.0,,6.0,152408.78
ORD-103342,CUST-1272,2024-05-26,28.0,Male,Home Office,South East,Owerri,Online,Beauty,Haircare,Haircare Eco 120,45518.7,4,5.0,299.58,USSD,Search,35,Yes,50667.47,91.05,Rainy,Sunday,no,REP-04,15.0,3.2,4.0,190152.59
ORD-104756,CUST-2579,22/08/2024,35.0,,Home Office,North,borno,Retail,Automotive Parts,Tyres,Tyres Pro 529,6856.65,4,5.0,1942.55,Mobile Money,Referral,43,N,,104.63,Rainy,Thursday,no,REP-23,9.0,4.8,8.0,28713.87
ORD-102707,CUST-1835,12/10/2024,44.0,Female,Consumer,North,BORNO,Online,Automotive Parts,Electricals,Electricals Max 444,29743.41,2,,1686.62,MOBILE_MONEY,Email,52,N,30985.08,98.66,Rainy,Saturday,No,REP-07,7.0,4.2,5.0,59817.37
ORD-102443,CUST-1583,10/01/2025,53.0,Male,Consumer,North Central,Abuja,Online,Beauty,Haircare,Haircare Standard 470,14087.01,6,25.0,659.6,USSD,Referral,39,No,15004.22,105.53,Dry,Friday,no,REP-50,2.0,3.8,4.0,78595.47
ORD-103361,CUST-3048,2025-06-13,21.0,Male,Consumer,South East,Owerri,Online,Furniture,Beds,Beds Standard 427,39788.69,7,0.0,464.73,CREDIT_CARD,Email,80,No,,98.42,Rainy,Friday,0,REP-58,6.0,3.1,8.0,295302.2
ORD-102485,CUST-1992,2025-09-17,35.0,Male,Home Office,North, Kano ,Retail,Office Supplies,Ink,Ink Standard 702,24488.98,3,25.0,695.61,Bank Transfer,Referral,12,No,24097.7,89.56,Rainy,Wednesday,No,REP-42,19.0,3.6,7.0,81344.03
ORD-100770,CUST-2792,"August 29, 2024",36.0,Female,Consumer,South South,warri,Online,Clothing,Menswear,Menswear Standard 401,"₦13,349.24",1,10.0,952.8,Debit Card,Search,59,yes,,112.78,Rainy,Thursday,No,REP-20,9.0,2.4,5.0,14716.41
ORD-102549,CUST-1352,01/08/2025,,Male,Consumer,North Central,Lokoja,Online,Automotive Parts,Electricals,Electricals Eco 667,18882.94,7,0.0,1324.88,Cash,Direct,49,no,20444.05,86.35,Rainy,Friday,0,REP-59,3.0,4.8,4.0,121573.48
ORD-104639,CUST-3527,2025-02-07,36.0,Male,Corporate,North Central,ilorin,Online,Electronics,Audio,Audio Plus 174,6495.03,4,0.0,2381.03,Credit Card,Referral,50,False,6761.11,100.88,Dry,Friday,N,REP-22,19.0,5.7,7.0,37657.28
ORD-103631,CUST-2500,28/03/2025,21.0,Female,Home Office,South West, Osun ,Online,Groceries,Staples,Staples Lite 201,"₦27,797.24",5,,1219.41,Debit Card,Social Media,28,no,26866.72,101.69,Dry,Friday,False,REP-05,8.0,,2.0,148108.41
ORD-102516,CUST-2902,10/01/2024,35.0,Male,Home Office,North,SOKOTO,Retail,Electronics,Laptops,Laptops Eco 955,31949.34,6,0.0,739.49,Debit Card,Social Media,17,no,30893.79,104.77,Dry,Wednesday,N,REP-46,0.0,,6.0,160415.04
ORD-104287,CUST-3217,"January 29, 2024",24.0,Female,Consumer,North Central,abuja,Online,Furniture,Tables,Tables Plus 117,30253.94,4,25.0,608.69,Cash,TV,61,no,,83.28,Dry,Monday,0,REP-60,11.0,2.6,3.0,107529.53
ORD-102152,CUST-3355,12/04/2024,55.0,Female,Corporate,North, Sokoto ,Retail,Office Supplies,Ink,Ink Eco 404,12778.92,4,0.0,871.86,Mobile Money,Search,87,no,,88.41,Rainy,Friday,No,REP-50,6.0,4.0,6.0,53403.15
ORD-104831,CUST-1295,"August 17, 2025",15.0,Male,Consumer,South South, Warri ,Online,Furniture,Storage,Storage Plus 272,"₦11,830.67",2,10.0,841.2,Credit Card,TV,34,Y,11038.12,89.81,Rainy,Sunday,No,REP-09,15.0,,6.0,33156.18
ORD-104833,CUST-1650,"June 30, 2025",20.0,,Corporate,North,KADUNA,Retail,Electronics,Laptops,Laptops Eco 234,4739.86,4,15.0,655.87,Credit Card,Social Media,26,1,4617.58,99.58,Rainy,Monday,No,REP-19,14.0,,6.0,20095.4
ORD-104090,CUST-3027,17/01/2025,21.0,Female,Consumer,North Central,Ilorin,Retail,Electronics,Laptops,Laptops Plus 429,46250.19,6,10.0,814.79,Bank Transfer,Direct,26,,48661.9,92.1,Dry,Friday,False,REP-13,1.0,3.4,6.0,299781.24
ORD-102063,CUST-2979,2024/01/13,28.0,Male,Consumer,South South,Port Harcourt,Online, Electronics ,Smartphones,Smartphones Plus 418,20042.96,4,10.0,513.76,USSD,Search,2,no,,83.15,Dry,Saturday,False,REP-28,13.0,2.9,5.0,83630.98
ORD-101756,CUST-1957,2025-01-19,33.0,Male,Consumer,South South,Calabar,Online,Beauty,Fragrance,Fragrance Pro 796,21195.27,1,25.0,707.9,Cash,Referral,88,True,20428.41,92.55,Dry,Sunday,N,REP-53,5.0,4.4,6.0,11380.93
ORD-103450,CUST-2304,17/02/2025,45.0,Female,Consumer,South South, Warri ,Retail,Automotive Parts,Electricals,Electricals Standard 228,10816.37,2,10.0,772.99,Debit Card,Email,70,,10960.1,104.94,Dry,Monday,0,REP-07,6.0,,6.0,20419.65
ORD-104939,CUST-1931,29/03/2025,32.0,Female,Corporate,North Central,Abuja,Retail,Groceries,Snacks,Snacks Lite 415,20588.94,5,0.0,1367.77,Cash,Social Media,71,True,,108.43,Dry,Saturday,No,REP-08,8.0,2.8,10.0,153035.41
